Game Title,User Rating,Age Group Targeted,Price,Platform,Requires Special Device,Developer,Publisher,Release Year,Genre,Multiplayer,Game Length (Hours),Graphics Quality,Soundtrack Quality,Story Quality,User Review Text,Game Mode,Min Number of Players,Sentiment Score,Sentiment
Grand Theft Auto V,36.4,Everyone,41.41,PC,No,Game Freak,Innersloth,2015,Adventure,No,55.3,Medium,Average,Poor,"Solid game, but too many bugs.",Offline,1,0.033333333333333326,Neutral
The Sims 4,38.3,Mature,57.56,PC,No,Nintendo,Electronic Arts,2015,Shooter,Yes,34.6,Low,Poor,Poor,"Solid game, but too many bugs.",Offline,3,0.033333333333333326,Neutral
Minecraft,26.8,Teen,44.93,PC,Yes,Bungie,Capcom,2012,Adventure,Yes,13.9,Low,Good,Average,"Great game, but the graphics could be better.",Offline,5,0.3,Positive
Bioshock Infinite,38.4,Everyone,48.29,Android/iOS,Yes,Game Freak,Nintendo,2015,Sports,No,41.9,Medium,Good,Excellent,"Solid game, but the graphics could be better.",Online,4,0.033333333333333326,Neutral
Half-Life: Alyx,30.1,Mature,55.49,PS4,Yes,Game Freak,Epic Games,2022,Role-Playing Game,Yes,13.2,High,Poor,Good,"Great game, but too many bugs.",Offline,1,0.3,Positive
Grand Theft Auto V,38.6,Mature,51.73,Xbox,No,Capcom,Capcom,2017,Role-Playing Game,Yes,48.8,Low,Average,Poor,"Solid game, but the graphics could be better.",Offline,4,0.033333333333333326,Neutral
Sid Meier’s Civilization VI,33.1,Mature,46.44,Android/iOS,No,Game Freak,Innersloth,2020,Simulation,No,36.9,High,Excellent,Good,"Solid game, but the gameplay is amazing.",Online,3,0.0666666666666667,Neutral
Just Dance 2024,32.3,Teen,36.92,Switch,No,Capcom,Take-Two Interactive,2012,Strategy,No,52.1,Ultra,Poor,Poor,"Disappointing game, but the gameplay is amazing.",Offline,3,-0.1333333333333333,Neutral
Sid Meier’s Civilization VI,26.7,Everyone,22.2,Switch,No,Epic Games,Epic Games,2010,Fighting,No,56.4,Low,Average,Good,"Great game, but the gameplay is amazing.",Online,10,0.3333333333333333,Positive
1000-Piece Puzzle,23.9,Everyone 10+,20.09,PC,No,CD Projekt Red,Innersloth,2013,Sports,Yes,46.0,Low,Good,Average,"Solid game, but the graphics could be better.",Offline,5,0.033333333333333326,Neutral
Spelunky 2,29.3,Mature,27.76,Android/iOS,No,Capcom,Capcom,2017,Adventure,No,57.0,Medium,Excellent,Good,"Amazing game, but the gameplay is amazing.",Offline,1,0.2666666666666667,Positive
Street Fighter V,37.4,Everyone,58.01,PS4,No,Game Freak,Epic Games,2010,Fighting,Yes,29.2,Medium,Average,Average,"Solid game, but too many bugs.",Offline,5,0.033333333333333326,Neutral
Street Fighter V,28.2,Everyone 10+,42.13,PC,Yes,Capcom,Activision,2018,Shooter,Yes,20.6,Ultra,Average,Poor,"Great game, but too many bugs.",Offline,10,0.3,Positive
Fall Guys,43.0,Teen,50.53,Switch,Yes,Capcom,Epic Games,2011,Strategy,Yes,55.6,Low,Poor,Poor,"Great game, but too many bugs.",Offline,5,0.3,Positive
Rocket League,28.6,Everyone 10+,52.91,PS4,No,Epic Games,Valve,2012,Party,No,7.0,Low,Poor,Poor,"Solid game, but the gameplay is amazing.",Offline,2,0.0666666666666667,Neutral
The Elder Scrolls V: Skyrim,32.4,Everyone,32.8,PC,No,Epic Games,Valve,2014,Simulation,No,55.5,Ultra,Poor,Excellent,"Disappointing game, but the gameplay is amazing.",Offline,6,-0.1333333333333333,Neutral
Among Us,18.7,Teen,20.81,Android/iOS,No,Epic Games,Activision,2015,Role-Playing Game,Yes,23.9,Low,Good,Average,"Disappointing game, but the graphics could be better.",Online,3,-0.16666666666666666,Neutral
Stardew Valley,36.5,Everyone 10+,48.29,Android/iOS,Yes,Bungie,Take-Two Interactive,2016,Shooter,No,41.9,Medium,Excellent,Excellent,"Solid game, but the gameplay is amazing.",Online,1,0.0666666666666667,Neutral
Spelunky 2,30.7,Everyone,45.94,PC,Yes,Bungie,Epic Games,2016,Adventure,No,20.9,Medium,Good,Poor,"Great game, but the graphics could be better.",Offline,10,0.3,Positive
Call of Duty: Modern Warfare 2,26.3,Everyone,32.3,PC,No,Game Freak,Innersloth,2023,Strategy,Yes,31.5,Ultra,Poor,Average,"Disappointing game, but the gameplay is amazing.",Offline,3,-0.1333333333333333,Neutral
The Legend of Zelda: Breath of the Wild,31.4,Mature,29.05,PS4,No,Nintendo,Innersloth,2013,Adventure,No,55.6,Medium,Excellent,Excellent,"Amazing game, but too many bugs.",Offline,5,0.23333333333333336,Positive
Tekken 7,26.8,Teen,38.03,PC,Yes,Game Freak,Capcom,2022,Simulation,Yes,21.7,Medium,Average,Average,"Solid game, but the gameplay is amazing.",Online,3,0.0666666666666667,Neutral
Pillars of Eternity II: Deadfire,26.2,Everyone,23.59,Xbox,Yes,Capcom,Electronic Arts,2016,Puzzle,Yes,49.4,Low,Good,Average,"Solid game, but too many bugs.",Offline,10,0.033333333333333326,Neutral
Animal Crossing: New Horizons,27.7,Teen,49.11,Xbox,Yes,Bungie,Electronic Arts,2012,Adventure,Yes,15.7,High,Poor,Average,"Solid game, but the gameplay is amazing.",Offline,5,0.0666666666666667,Neutral
Hades,35.8,Everyone 10+,39.41,Switch,No,Game Freak,Capcom,2018,Sports,Yes,49.5,High,Excellent,Excellent,"Great game, but the graphics could be better.",Online,10,0.3,Positive
Mario Kart 8 Deluxe,37.3,Everyone,42.53,PC,No,Rockstar Games,Epic Games,2016,Simulation,No,54.9,Medium,Good,Average,"Amazing game, but the graphics could be better.",Offline,10,0.23333333333333336,Positive
Tekken 7,43.1,Mature,52.81,PC,Yes,Nintendo,Innersloth,2015,Strategy,Yes,53.5,Ultra,Poor,Excellent,"Disappointing game, but the graphics could be better.",Offline,4,-0.16666666666666666,Neutral
Overwatch 2,31.8,Everyone,54.21,PS4,Yes,Capcom,Valve,2014,Shooter,No,16.1,Ultra,Average,Excellent,"Disappointing game, but too many bugs.",Online,4,-0.16666666666666666,Neutral
Mario Kart 8 Deluxe,35.3,Everyone 10+,43.23,Switch,Yes,Innersloth,Innersloth,2023,Adventure,No,51.1,Low,Good,Good,"Great game, but too many bugs.",Offline,10,0.3,Positive
Street Fighter V,31.6,Everyone,45.25,Android/iOS,Yes,EA Sports,Nintendo,2021,Puzzle,Yes,27.2,High,Poor,Poor,"Disappointing game, but too many bugs.",Online,6,-0.16666666666666666,Neutral
Fortnite,32.7,Everyone 10+,32.73,Switch,Yes,Capcom,Epic Games,2021,Party,No,53.0,High,Average,Good,"Great game, but the graphics could be better.",Online,2,0.3,Positive
Pokémon Scarlet & Violet,29.5,Everyone,53.12,PC,No,Epic Games,Take-Two Interactive,2012,Puzzle,No,12.8,Low,Good,Average,"Amazing game, but too many bugs.",Online,8,0.23333333333333336,Positive
